min,tempM,Rtemp
1172,4.7,4.3
1173,4.8,4.3
1174,4.8,4.3
1175,4.8,4.3
1176,4.9,4.3
1177,4.9,4.3
1178,4.9,4.3
1179,5,4.3
1180,5,4.3
1181,5.1,4.4
1182,5.1,4.3
1183,5.1,4.3
1184,5.2,4.4
1185,5.2,4.3
1186,4.9,4.3
1187,4.3,4.3
1188,3.9,4.4
1189,3.5,4.3
1190,3.1,4.3
1191,2.9,4.3
1192,2.6,4.3
1193,2.4,4.3
1194,2.2,4.3
1195,2.2,4.2
1196,2.5,4.3
1197,2.7,4.3
1198,2.9,4.2
1199,3.1,4.3
1200,3.3,4.3
1201,3.4,4.3
1202,3.6,4.3
1203,3.6,4.2
1204,3.8,4.3
1205,3.8,4.2
1206,3.9,4.2
1207,4,4.3
1208,4,4.2
1209,4.2,4.3
1210,4.2,4.2
1211,4.3,4.3
1212,4.3,4.2
1213,4.3,4.2
1214,4.5,4.3
1215,4.5,4.2
1216,4.6,4.3
1217,4.6,4.2
1218,4.6,4.2
1219,4.7,4.3
1220,4.7,4.3
1221,4.8,4.3
1222,4.8,4.3
1223,4.8,4.3
1224,4.9,4.3
1225,4.9,4.3
1226,4.9,4.3
1227,5,4.3
1228,5,4.3
1229,5.1,4.3
1230,5.1,4.3
1231,5.1,4.3
1232,5.2,4.4
1233,5.2,4.3
1234,5,4.3
1235,4.7,4.3
1236,4.7,4.3
1237,4.8,4.3
1238,5,4.4
1239,5.1,4.4
1240,5.1,4.4
1241,5.2,4.4
1242,5.2,4.4
1243,5.2,4.4
1244,5.3,4.5
1245,5.3,4.4
1246,5.4,4.4
1247,5.5,4.5
1248,5.4,4.5
1249,5.5,4.5
1250,5.6,4.6
1251,5.6,4.5
1252,5.6,4.5
1253,5.7,4.6
1254,5.7,4.6
1255,5.7,4.6
1256,5.7,4.6
1257,5.8,4.6
1258,5.8,4.6
1259,5.8,4.6
1260,5.9,4.7
1261,5.9,4.7
1262,5.9,4.7
1263,6,4.8
1264,5.9,4.8
1265,5.7,4.7
1266,5,4.7
1267,4.5,4.7
1268,4.1,4.7
1269,3.8,4.7
1270,3.5,4.8
1271,3.2,4.7
1272,3,4.7
1273,2.7,4.7
1274,2.4,4.6
1275,2.3,4.6
1276,2.2,4.6
1277,2.3,4.6
1278,2.6,4.7
1279,2.9,4.6
1280,3.1,4.7
1281,3.4,4.6
1282,3.5,4.6
1283,3.7,4.7
1284,3.8,4.6
1285,3.9,4.6
1286,4,4.6
1287,4.1,4.6
1288,4.1,4.6
1289,4.2,4.5
1290,4.3,4.6
1291,4.4,4.6
1292,4.5,4.6
1293,4.5,4.6
1294,4.5,4.5
1295,4.6,4.6
1296,4.6,4.5
1297,4.7,4.6
1298,4.8,4.5
1299,4.9,4.6
1300,4.9,4.6
1301,4.9,4.5
1302,5,4.6
1303,5,4.6
1304,5,4.6
1305,5.1,4.6
1306,5.1,4.6
1307,5.2,4.7
1308,5.2,4.6
1309,5.2,4.6
1310,5.1,4.7
1311,4.5,4.7
1312,4,4.6
1313,3.6,4.6
1314,3.3,4.6
1315,2.9,4.5
1316,2.7,4.5
1317,2.4,4.5
1318,2.2,4.5
1319,2.1,4.5
1320,2.3,4.5
1321,2.6,4.5
1322,2.8,4.5
1323,3,4.5
1324,3.2,4.5
1325,3.4,4.5
1326,3.5,4.4
1327,3.7,4.5
1328,3.8,4.5
1329,3.8,4.4
1330,4,4.5
1331,4,4.4
1332,4.1,4.4
1333,4.2,4.4
1334,4.2,4.4
1335,4.3,4.4
1336,4.3,4.4
1337,4.5,4.5
1338,4.5,4.4
1339,4.5,4.4
1340,4.6,4.4
1341,4.6,4.4
1342,4.7,4.4
1343,4.7,4.4
1344,4.8,4.5
1345,4.8,4.4
1346,4.8,4.4
1347,4.9,4.5
1348,4.9,4.5
1349,4.9,4.4
1350,5,4.5
1351,5,4.4
1352,5.1,4.5
1353,5.1,4.5
1354,5.1,4.4
1355,5.2,4.5
1356,5.1,4.5
1357,4.6,4.5
1358,4.1,4.5
1359,3.7,4.5
1360,3.3,4.5
1361,3,4.5
1362,2.7,4.4
1363,2.5,4.4
1364,2.3,4.4
1365,2.1,4.4
1366,2.2,4.4
1367,2.6,4.4
1368,2.8,4.5
1369,2.9,4.4
1370,3.2,4.4
1371,3.4,4.4
1372,3.5,4.4
1373,3.6,4.3
1374,3.7,4.4
1375,3.8,4.4
1376,3.9,4.3
1377,4,4.4
1378,4,4.3
1379,4.1,4.3
1380,4.2,4.3
1381,4.3,4.4
1382,4.3,4.3
1383,4.3,4.3
1384,4.5,4.3
1385,4.5,4.3
1386,4.6,4.4
1387,4.6,4.3
1388,4.6,4.3
