Min,tempM,Rtemp
861,3.9,4.7
862,3.9,4.7
863,4,4.8
864,4,4.8
865,4,4.9
866,4,4.9
867,4,4.4
868,4,3.8
869,3.9,3.3
870,3.9,3
871,3.9,2.7
872,3.9,2.3
873,3.8,2
874,3.9,1.8
875,3.8,1.6
876,3.8,1.6
877,3.8,1.9
878,3.8,2.2
879,3.8,2.3
880,3.8,2.5
881,3.8,2.7
882,3.8,2.9
883,3.8,3
884,3.8,3.1
885,3.8,3.2
886,3.8,3.4
887,3.8,3.4
888,3.8,3.5
889,3.8,3.6
890,3.8,3.6
891,3.8,3.8
892,3.8,3.8
893,3.8,3.9
894,3.8,3.9
895,3.8,4
896,3.8,4.1
897,3.8,4.1
898,3.8,4.1
899,3.8,4.2
900,3.9,4.3
901,3.8,4.3
902,3.9,4.4
903,3.9,4.4
904,3.9,4.4
905,3.9,4.6
906,3.9,4.6
907,3.9,4.6
908,3.9,4.7
909,3.9,4.7
910,3.9,4.7
911,3.9,4.7
912,3.9,4.8
913,3.9,4.8
914,4,4.9
915,4,4.9
916,4,4.6
917,4,4
918,3.9,3.5
919,3.9,3.1
920,3.9,2.7
921,3.9,2.4
922,3.9,2.1
923,3.8,1.9
924,3.8,1.6
925,3.7,1.6
926,3.7,1.8
927,3.8,2.1
928,3.8,2.3
929,3.8,2.5
930,3.8,2.7
931,3.8,2.9
932,3.8,3
933,3.8,3.1
934,3.7,3.2
935,3.8,3.4
936,3.7,3.4
937,3.8,3.5
938,3.8,3.6
939,3.7,3.6
940,3.7,3.7
941,3.8,3.8
942,3.7,3.8
943,3.8,4
944,3.8,4
945,3.7,4
946,3.8,4.1
947,3.8,4.2
948,3.8,4.2
949,3.9,4.3
950,3.8,4.3
951,3.9,4.4
952,3.9,4.4
953,3.8,4.4
954,3.8,4.5
955,3.9,4.6
956,3.9,4.6
957,3.8,4.6
958,3.9,4.7
959,3.9,4.7
960,3.9,4.7
961,3.9,4.8
962,3.9,4.8
963,3.9,4.8
964,4,4.9
965,3.9,4.9
966,3.9,4.3
967,3.9,3.8
968,3.9,3.3
969,3.9,2.9
970,3.9,2.6
971,3.8,2.3
972,3.8,2
973,3.7,1.7
974,3.7,1.5
975,3.7,1.7
976,3.7,2
977,3.7,2.2
978,3.8,2.4
979,3.8,2.6
980,3.8,2.8
981,3.8,2.9
982,3.7,3.1
983,3.7,3.1
984,3.8,3.3
985,3.7,3.4
986,3.7,3.4
987,3.8,3.6
988,3.7,3.6
989,3.7,3.7
990,3.7,3.7
991,3.7,3.8
992,3.7,3.9
993,3.8,4
994,3.7,4
995,3.8,4.1
996,3.8,4.1
997,3.8,4.2
998,3.8,4.2
999,3.8,4.3
1000,3.8,4.3
1001,3.9,4.4
1002,3.8,4.4
1003,3.8,4.4
1004,3.9,4.6
1005,3.8,4.6
1006,3.8,4.6
1007,3.9,4.7
1008,3.9,4.7
1009,3.8,4.7
1010,3.8,4.7
1011,3.9,4.8
1012,3.9,4.8
1013,3.9,4.9
1014,3.9,4.9
1015,3.9,4.7
1016,3.9,4.1
1017,3.9,3.7
1018,3.8,3.2
1019,3.8,2.8
1020,3.8,2.5
1021,3.8,2.2
1022,3.8,2
1023,3.7,1.7
1024,3.7,1.5
1025,3.7,1.7
1026,3.7,2
1027,3.7,2.3
1028,3.8,2.5
1029,3.8,2.7
1030,3.8,2.9
1031,3.7,3
1032,3.7,3.1
1033,3.7,3.2
1034,3.7,3.3
1035,3.7,3.4
1036,3.7,3.4
1037,3.7,3.6
1038,3.7,3.6
1039,3.7,3.7
1040,3.7,3.8
1041,3.7,3.8
1042,3.8,4
1043,3.7,4
1044,3.7,4
1045,3.8,4.1
1046,3.8,4.1
1047,3.8,4.2
1048,3.7,4.2
1049,3.8,4.3
1050,3.8,4.3
1051,3.8,4.4
1052,3.8,4.5
1053,3.8,4.5
1054,3.9,4.6
1055,3.8,4.6
1056,3.8,4.6
1057,3.9,4.7
1058,3.8,4.7
1059,3.8,4.7
1060,3.8,4.7
1061,3.9,4.8
1062,3.9,4.9
1063,3.8,4.9
1064,3.9,4.9
1065,3.9,4.5
1066,3.9,3.9
1067,3.9,3.4
1068,3.8,3
