,diff,lwr,upr,p adj,Comparison,Result,Explanation
3:overnight:Summer B-2:share table:Summer A,1.2185,0.79973883,1.63726117,0,N/A,,
4:overnight:Summer B-2:share table:Summer A,0.5085,0.08973883,0.92726117,0.002765582,N/A,,
2:Refrigerated Control:Summer B-2:share table:Summer A,0.811,0.127165872,1.494834128,0.004185252,N/A,,
3:Refrigerated Control:Summer B-2:share table:Summer A,0.711,0.027165872,1.394834128,0.030653077,N/A,,
4:Refrigerated Control:Summer B-2:share table:Summer A,0.701,0.017165872,1.384834128,0.03681098,N/A,,
1:overnight:Winter-2:share table:Summer A,1.077666667,0.621777248,1.533556085,0,N/A,,
2:overnight:Winter-2:share table:Summer A,0.981,0.525110582,1.436889418,2.73E-10,N/A,,
3:overnight:Winter-2:share table:Summer A,1.051,0.595110582,1.506889418,0,N/A,,
4:overnight:Winter-2:share table:Summer A,0.577666667,0.121777248,1.033556085,0.001252102,N/A,,
2:Refrigerated Control:Winter-2:share table:Summer A,1.021,0.337165872,1.704834128,3.37E-05,N/A,,
3:Refrigerated Control:Winter-2:share table:Summer A,0.911,0.227165872,1.594834128,0.000457082,N/A,,
4:Refrigerated Control:Winter-2:share table:Summer A,1.031,0.347165872,1.714834128,2.64E-05,N/A,,
2:overnight:Summer B-3:share table:Summer A,0.72325,0.281836969,1.164663031,2.88E-06,N/A,,
3:overnight:Summer B-3:share table:Summer A,1.08575,0.644336969,1.527163031,0,N/A,,
2:Refrigerated Control:Summer B-3:share table:Summer A,0.67825,-0.019685284,1.376185284,0.069633072,N/A,,
1:overnight:Winter-3:share table:Summer A,0.944916667,0.468136101,1.421697233,7.08E-09,N/A,,
2:overnight:Winter-3:share table:Summer A,0.84825,0.371469434,1.325030566,2.52E-07,N/A,,
3:overnight:Winter-3:share table:Summer A,0.91825,0.441469434,1.395030566,1.91E-08,N/A,,
2:Refrigerated Control:Winter-3:share table:Summer A,0.88825,0.190314716,1.586185284,0.001150247,N/A,,
3:Refrigerated Control:Winter-3:share table:Summer A,0.77825,0.080314716,1.476185284,0.011362485,N/A,,
4:Refrigerated Control:Winter-3:share table:Summer A,0.89825,0.200314716,1.596185284,0.000923361,N/A,,
1:overnight:Summer B-4:share table:Summer A,0.4685,0.027086969,0.909913031,0.023240268,N/A,,
2:overnight:Summer B-4:share table:Summer A,0.806,0.364586969,1.247413031,1.11E-07,N/A,,
3:overnight:Summer B-4:share table:Summer A,1.1685,0.727086969,1.609913031,0,N/A,,
4:overnight:Summer B-4:share table:Summer A,0.4585,0.017086969,0.899913031,0.031048813,N/A,,
2:Refrigerated Control:Summer B-4:share table:Summer A,0.761,0.063064716,1.458935284,0.015869465,N/A,,
3:Refrigerated Control:Summer B-4:share table:Summer A,0.661,-0.036935284,1.358935284,0.091971622,N/A,,
1:overnight:Winter-4:share table:Summer A,1.027666667,0.550886101,1.504447233,2.51E-10,N/A,,
2:overnight:Winter-4:share table:Summer A,0.931,0.454219434,1.407780566,1.19E-08,N/A,,
3:overnight:Winter-4:share table:Summer A,1.001,0.524219434,1.477780566,8.14E-10,N/A,,
4:overnight:Winter-4:share table:Summer A,0.527666667,0.050886101,1.004447233,0.012730608,N/A,,
2:Refrigerated Control:Winter-4:share table:Summer A,0.971,0.273064716,1.668935284,0.000178522,N/A,,
3:Refrigerated Control:Winter-4:share table:Summer A,0.861,0.163064716,1.558935284,0.002075054,N/A,,
4:Refrigerated Control:Winter-4:share table:Summer A,0.981,0.283064716,1.678935284,0.000141649,N/A,,
1:overnight:Summer B-5:share table:Summer A,0.5143,0.072886969,0.955713031,0.005646344,N/A,,
2:overnight:Summer B-5:share table:Summer A,0.8518,0.410386969,1.293213031,1.79E-08,N/A,,
3:overnight:Summer B-5:share table:Summer A,1.2143,0.772886969,1.655713031,0,N/A,,
4:overnight:Summer B-5:share table:Summer A,0.5043,0.062886969,0.945713031,0.007776999,N/A,,
2:Refrigerated Control:Summer B-5:share table:Summer A,0.8068,0.108864716,1.504735284,0.006429408,N/A,,
3:Refrigerated Control:Summer B-5:share table:Summer A,0.7068,0.008864716,1.404735284,0.0428787,N/A,,
4:Refrigerated Control:Summer B-5:share table:Summer A,0.6968,-0.001135284,1.394735284,0.050983544,N/A,,
1:overnight:Winter-5:share table:Summer A,1.073466667,0.596686101,1.550247233,0,N/A,,
2:overnight:Winter-5:share table:Summer A,0.9768,0.500019434,1.453580566,2.12E-09,N/A,,
3:overnight:Winter-5:share table:Summer A,1.0468,0.570019434,1.523580566,8.10E-11,N/A,,
4:overnight:Winter-5:share table:Summer A,0.573466667,0.096686101,1.050247233,0.00327544,N/A,,
2:Refrigerated Control:Winter-5:share table:Summer A,1.0168,0.318864716,1.714735284,6.13E-05,N/A,,
3:Refrigerated Control:Winter-5:share table:Summer A,0.9068,0.208864716,1.604735284,0.000764242,N/A,,
4:Refrigerated Control:Winter-5:share table:Summer A,1.0268,0.328864716,1.724735284,4.84E-05,N/A,,
3:overnight:Summer B-1:overnight:Summer B,0.7,0.258586969,1.141413031,7.08E-06,Summer B - Summer B,Overnight day 3 is different from overnight day 1,Lag phase
1:share table:Summer B-1:overnight:Summer B,-0.6475,-1.124280566,-0.170719434,0.000303602,Summer B - Summer B,ST Day 1 is different from Overnight Day 1,
2:share table:Summer B-1:overnight:Summer B,-0.4995,-0.91826117,-0.08073883,0.003789495,Summer B - Summer B,ST Day 2 is different from Overnight Day 1,
3:share table:Summer B-1:overnight:Summer B,-0.47675,-0.918163031,-0.035336969,0.01819796,Summer B - Summer B,ST Day 3 is different from Overnight Day 1,
4:share table:Summer B-1:overnight:Summer B,-0.58875,-1.030163031,-0.147336969,0.000445788,Summer B - Summer B,ST Day 4 is different from Overnight Day 1,
1:overnight:Winter-1:overnight:Summer B,0.559166667,0.082386101,1.035947233,0.005059461,Winter - Summer B,Overnight shift day 1 in the winter is different than overnight shift day 1 in the summer b,
2:overnight:Winter-1:overnight:Summer B,0.4625,-0.014280566,0.939280566,0.071042999,N/A,,
3:overnight:Winter-1:overnight:Summer B,0.5325,0.055719434,1.009280566,0.011087326,N/A,,
1:share table:Winter-1:overnight:Summer B,-0.5175,-0.994280566,-0.040719434,0.016952181,N/A,,
2:share table:Winter-1:overnight:Summer B,-0.508833333,-0.985613899,-0.032052767,0.021535231,N/A,,
3:share table:Winter-1:overnight:Summer B,-0.493833333,-0.970613899,-0.017052767,0.032221258,N/A,,
5:share table:Winter-1:overnight:Summer B,-0.5797,-1.056480566,-0.102919434,0.002702304,N/A,,
1:share table:Summer B-2:overnight:Summer B,-0.985,-1.461780566,-0.508219434,1.54E-09,Summer B - Summer B,ST Day 1 is different from Overnight Day 2,
2:share table:Summer B-2:overnight:Summer B,-0.837,-1.25576117,-0.41823883,5.23E-09,Summer B - Summer B,ST Day 2 is different from Overnight Day 2,
3:share table:Summer B-2:overnight:Summer B,-0.81425,-1.255663031,-0.372836969,8.01E-08,Summer B - Summer B,ST Day 3 is different from Overnight Day 2,
4:share table:Summer B-2:overnight:Summer B,-0.92625,-1.367663031,-0.484836969,8.32E-10,Summer B - Summer B,ST Day 4 is different from Overnight Day 2,
5:share table:Summer B-2:overnight:Summer B,-0.69,-1.131413031,-0.248586969,1.04E-05,Summer B - Summer B,ST Day 5 is different from Overnight Day 2,
1:share table:Winter-2:overnight:Summer B,-0.855,-1.331780566,-0.378219434,1.97E-07,N/A,,
2:share table:Winter-2:overnight:Summer B,-0.846333333,-1.323113899,-0.369552767,2.71E-07,N/A,,
3:share table:Winter-2:overnight:Summer B,-0.831333333,-1.308113899,-0.354552767,4.68E-07,N/A,,
4:share table:Winter-2:overnight:Summer B,-0.715,-1.191780566,-0.238219434,3.02E-05,N/A,,
5:share table:Winter-2:overnight:Summer B,-0.9172,-1.393980566,-0.440419434,1.99E-08,N/A,,
4:overnight:Summer B-3:overnight:Summer B,-0.71,-1.151413031,-0.268586969,4.81E-06,Summer B - Summer B,Overnight shift day 4 is different than overnight day 3,Reaching stationary phase
1:Refrigerated Control:Summer B-3:overnight:Summer B,-0.9575,-1.655435284,-0.259564716,0.000243497,Summer B - Summer B,RC Day 1 is different than summer overnight Day 3,Longer lag phase
1:share table:Summer B-3:overnight:Summer B,-1.3475,-1.824280566,-0.870719434,0,Summer B - Summer B,ST Day 1 is different from Overnight Day 3,
2:share table:Summer B-3:overnight:Summer B,-1.1995,-1.61826117,-0.78073883,0,Summer B - Summer B,ST Day 2 is different from Overnight Day 3,
3:share table:Summer B-3:overnight:Summer B,-1.17675,-1.618163031,-0.735336969,0,Summer B - Summer B,ST Day 3 is different from Overnight Day 3,
4:share table:Summer B-3:overnight:Summer B,-1.28875,-1.730163031,-0.847336969,0,Summer B - Summer B,ST Day 4 is different from Overnight Day 3,
5:share table:Summer B-3:overnight:Summer B,-1.0525,-1.493913031,-0.611086969,0,Summer B - Summer B,ST Day 5 is different from Overnight Day 3,
4:overnight:Winter-3:overnight:Summer B,-0.640833333,-1.117613899,-0.164052767,0.000378947,N/A,,
1:Refrigerated Control:Winter-3:overnight:Summer B,-0.7275,-1.425435284,-0.029564716,0.029648225,N/A,,
1:share table:Winter-3:overnight:Summer B,-1.2175,-1.694280566,-0.740719434,0,N/A,,
2:share table:Winter-3:overnight:Summer B,-1.208833333,-1.685613899,-0.732052767,0,N/A,,
3:share table:Winter-3:overnight:Summer B,-1.193833333,-1.670613899,-0.717052767,0,N/A,,
4:share table:Winter-3:overnight:Summer B,-1.0775,-1.554280566,-0.600719434,0,N/A,,
5:share table:Winter-3:overnight:Summer B,-1.2797,-1.756480566,-0.802919434,0,N/A,,
1:share table:Summer B-4:overnight:Summer B,-0.6375,-1.114280566,-0.160719434,0.000423157,Summer B - Summer B,ST Day 1 is different from Overnight Day 4,
2:share table:Summer B-4:overnight:Summer B,-0.4895,-0.90826117,-0.07073883,0.005347974,Summer B - Summer B,ST Day 2 is different from Overnight Day 4,
3:share table:Summer B-4:overnight:Summer B,-0.46675,-0.908163031,-0.025336969,0.024462151,Summer B - Summer B,ST Day 3 is different from Overnight Day 4,
4:share table:Summer B-4:overnight:Summer B,-0.57875,-1.020163031,-0.137336969,0.000635582,Summer B - Summer B,ST Day 4 is different from Overnight Day 4,
1:overnight:Winter-4:overnight:Summer B,0.569166667,0.092386101,1.045947233,0.003736553,N/A,,
2:overnight:Winter-4:overnight:Summer B,0.4725,-0.004280566,0.949280566,0.055644073,N/A,,
3:overnight:Winter-4:overnight:Summer B,0.5425,0.065719434,1.019280566,0.008296612,N/A,,
1:share table:Winter-4:overnight:Summer B,-0.5075,-0.984280566,-0.030719434,0.022333638,N/A,,
2:share table:Winter-4:overnight:Summer B,-0.498833333,-0.975613899,-0.022052767,0.028217779,N/A,,
3:share table:Winter-4:overnight:Summer B,-0.483833333,-0.960613899,-0.007052767,0.041796879,N/A,,
5:share table:Winter-4:overnight:Summer B,-0.5697,-1.046480566,-0.092919434,0.00367617,N/A,,
1:overnight:Winter-1:Refrigerated Control:Summer B,0.816666667,0.095842205,1.537491128,0.008879592,N/A,,
2:overnight:Winter-1:Refrigerated Control:Summer B,0.72,-0.000824462,1.440824462,0.050689812,N/A,,
